bibkey,phenomenon_taxonomy_root,phenomenon_taxonomy_leaf,phenomenon_taxonomy_alternate,validate_taxonomy,new_taxonomy_root,new_taxonomy_leaf
mundlerSWTBenchTestingValidating2024,Agents,Coding,,Agents - Coding,General Application,Coding Agents
yangLLMCBenchBenchmarkingLarge2024,,,,,Missing,Missing
davidsonEvaluatingLanguageModel2024,Alignment,Alignment,,Alignment - Alignment,General Capability,Alignment
helweMAFALDABenchmarkComprehensive2024,Reasoning,Logical,,Reasoning - Logical,General Capability,Logical Reasoning
niuRAGTruthHallucinationCorpus2024,Retrieval,,Factuality,Retrieval - ,General Application,Document Retrieval
wangIELMOpenInformation2022,NLP,Extraction,,NLP - Extraction,General Application,Extraction
heTGEAErrorAnnotatedDataset2021,Factuality,,,,General Capability,Factuality
heCanWeTrust2024,,,,,Missing,Missing
huangCEvalMultiLevelMultiDiscipline2023,Knowledge,Cultural,,,General Application,Cultural Knowledge
myungBLEnDBenchmarkLLMs2024,Knowledge,Cultural,,Knowledge - Cultural,General Application,Cultural Knowledge
yaoWebShopScalableRealWorld2022,Agents,Web,,Agents - Web,General Application,Web Agents
sanyalRobustLRDiagnosticBenchmark2022,Reasoning,Logical,Robustness,Reasoning - Logical,General Capability,Logical Reasoning
albalakFETABenchmarkFewSample2022,Language Modelling,Adaptability,,,General Capability,Adaptability
beanLINGOLYBenchmarkOlympiadLevel2024,Reasoning,Logical,,Reasoning - Logical,General Capability,Logical Reasoning
nasirGameTraversalBenchmarkEvaluatingPlanning2024,Reasoning,Planning,,Reasoning - Planning,General Capability,Planning
feiLawBenchBenchmarkingLegal2024,Law,,,Law - ,Specific Application,Law
kewBLESSBenchmarkingLarge2023,,,,,Missing,Missing
yuksekgonulWhenWhyVisionlanguage2023,Reasoning,Compositional,,Image Processing - ,General Capability,Compositional Reasoning
xieWhodunitBenchEvaluatingLarge2024,Agents,,,Agents - General,General Capability,Core Agentic Capabilities
jiangGenRESRethinkingEvaluation2024,,,,,Missing,Missing
saparinaAMBROSIABenchmarkParsing2024,Code Generation,Natural Language,,Code Generation - Natural Language,General Application,Code Generation
augustyniakThisWayDesigning2022,Multilinguality,,,Multilinguality - ,General Capability,Multilinguality
